lemmatized,Frequency,Collections
anchor winch,1,Consolidated
aluminum electrolysis process,1,Consolidated
aluminum fluoride addition,1,Consolidated
aluminum-copper alloy,1,Consolidated
aluminum-rich lithium cathode,1,Consolidated
ammonium perchlorate,1,Consolidated
analytical target cascading,1,Consolidated
artificial intelligence method in building design,1,Consolidated
artificial intelligence-generated configuration,1,Consolidated
alm (augmented lagrange multiplier),1,Consolidated
artificial muscle,1,Consolidated
automobile body,1,Consolidated
automotive,1,Consolidated
automotive crash,1,Consolidated
automotive structure,1,Consolidated
auxetic,1,Consolidated
auxetic concrete foundation,1,Consolidated
auxetics,1,Consolidated
auxiliary sructures,1,Consolidated
avoa,1,Consolidated
aw2099-t8 al-li alloy,1,Consolidated
axial and lateral impact,1,Consolidated
axial compression,1,Consolidated
axial extension coefficient,1,Consolidated
axial flow fan,1,Consolidated
axial impact,1,Consolidated
automobile,1,Consolidated
automation,1,Consolidated
automatic relevance determination,1,Consolidated
attention mechanism,1,Consolidated
aspen plus,1,Consolidated
assembly sequence planning,1,Consolidated
association relationship,1,Consolidated
astm,1,Consolidated
asymptotic analysis,1,Consolidated
asymptotic homogenization,1,Consolidated
autoencoder,1,Consolidated
automatic model modeling,1,Consolidated
autoencoders,1,Consolidated
automated fiber placement,1,Consolidated
automated finite element simulation,1,Consolidated
automated machine learning,1,Consolidated
automated structural design,1,Consolidated
automatic machine,1,Consolidated
alo-mlp,1,Consolidated
alloying element,1,Consolidated
cnc machine tool (mt),1,Consolidated
adaptive,1,Consolidated
7050 aluminium alloy,1,Consolidated
7050 aluminum alloy forging,1,Consolidated
a356 alloy,1,Consolidated
abaqus numerical simulation,1,Consolidated
abductory induction mechanism,1,Consolidated
ablation test,1,Consolidated
abrasive wear,1,Consolidated
accuracy,1,Consolidated
acoustic emission,1,Consolidated
acoustic energy harvesting,1,Consolidated
active truss,1,Consolidated
active-passive safety,1,Consolidated
actuator,1,Consolidated
adaboost classifier,1,Consolidated
adaboost regressor,1,Consolidated
5e analysis,1,Consolidated
3d-metal printing,1,Consolidated
3d-flexibility theory,1,Consolidated
3-d printing,1,Consolidated
(impact analysis),1,Consolidated
(inverse parameter estimation),1,Consolidated
(mfgpr),1,Consolidated
-genetic algorithm,1,Consolidated
2-point correlation function,1,Consolidated
3-d measurement,1,Consolidated
316l,1,Consolidated
3d woven composite,1,Consolidated
3d fashion design,1,Consolidated
3d graphic static,1,Consolidated
3d printed biomimetic material,1,Consolidated
3d printed wick,1,Consolidated
3d semantic segmentation,1,Consolidated
3d shape generation,1,Consolidated
adaptation model,1,Consolidated
adaptive and parallel,1,Consolidated
alloy wheel rim,1,Consolidated
adaptive feature optimization,1,Consolidated
aerospace engineering,1,Consolidated
aerospace structure,1,Consolidated
af-pue composite,1,Consolidated
age hardening,1,Consolidated
agglomerative clustering,1,Consolidated
aggregated artificial neural network,1,Consolidated
ai-based algorithm,1,Consolidated
aigc,1,Consolidated
aircraft structural part,1,Consolidated
aircraft wing,1,Consolidated
al-cu bimetal,1,Consolidated
al-mg alloy,1,Consolidated
al-mg-sc-zr alloy,1,Consolidated
algorithm,1,Consolidated
alloy system,1,Consolidated
aeroelastic tailoring,1,Consolidated
aeroelastic model,1,Consolidated
aerodynamic optimization,1,Consolidated
adhesively bonded joint,1,Consolidated
adaptive infilling,1,Consolidated
adaptive kriging,1,Consolidated
adaptive material-field series-expansion,1,Consolidated
adaptive network based fuzzy inference system (anfis),1,Consolidated
adaptive parallel infilling strategy,1,Consolidated
adaptive surrogate model,1,Consolidated
adjoint method,1,Consolidated
aerodynamic load,1,Consolidated
adjoint sensitivity,1,Consolidated
advanced high-strength steel,1,Consolidated
advanced manufacturing technology,1,Consolidated
advanced nanocomposites,1,Consolidated
aerial building machine,1,Consolidated
aero-engine,1,Consolidated
b -spline,1,Consolidated
b-pillar,1,Consolidated
back propagation neural network,1,Consolidated
catboost,1,Consolidated
calphad,1,Consolidated
camshaft bearing pair,1,Consolidated
cantor fractal structure,1,Consolidated
capacity fade,1,Consolidated
carbon composite,1,Consolidated
carbon dioxide,1,Consolidated
carbon efficiency,1,Consolidated
carbon fiber woven composite panel member,1,Consolidated
carbon fiber/low melt polyaryletherketone,1,Consolidated
carbon fibre,1,Consolidated
carbon fibre pla,1,Consolidated
carbon-glass fiber reinforced polymer (cgfrp),1,Consolidated
carbon/carbon composite structure,1,Consolidated
case study,1,Consolidated
case-based reasoning,1,Consolidated
cae,1,Consolidated
cad-system,1,Consolidated
cad cae cam–computing & information technology,1,Consolidated
building information modeling (bim),1,Consolidated
brep,1,Consolidated
bridge,1,Consolidated
bridge inspection,1,Consolidated
bridge pier,1,Consolidated
buckling design,1,Consolidated
buckling pressure,1,Consolidated
building material,1,Consolidated
cable-supported,1,Consolidated
bumper beam,1,Consolidated
c,1,Consolidated
c-section channel,1,Consolidated
cable force predictor,1,Consolidated
cable-stayed bridge,1,Consolidated
cable-stayed fastening-hanging cantilever assembly,1,Consolidated
cast component,1,Consolidated
categorical-variable kernel,1,Consolidated
back propagation neural network (bpnn),1,Consolidated
catenary system,1,Consolidated
characteristic finite strip,1,Consolidated
characterization,1,Consolidated
charging composition,1,Consolidated
chemical composition,1,Consolidated
chip thickness,1,Consolidated
chiral auxetics,1,Consolidated
chlorella pyrenoidosa,1,Consolidated
circular tube,1,Consolidated
circularity,1,Consolidated
cladding track geometry,1,Consolidated
classification algorithm knn,1,Consolidated
clt theory,1,Consolidated
cluster optimization algorithm,1,Consolidated
clustered tensegrity structure,1,Consolidated
clustering-based optimization,1,Consolidated
characteristic agent,1,Consolidated
chaos ant colony optimization,1,Consolidated
channel-cooling structure,1,Consolidated
centrifugal casting,1,Consolidated
ccd,1,Consolidated
ccfrp 3d printing,1,Consolidated
cellular automaton,1,Consolidated
cellular automaton method,1,Consolidated
cellular phone folder front,1,Consolidated
cellular solid,1,Consolidated
ceramic particulate,1,Consolidated
cfst column,1,Consolidated
ceramic-matrix composite (cmcs),1,Consolidated
cfetr hcsb blanket,1,Consolidated
cfetr multi-purpose overloaded robot,1,Consolidated
cfrp (carbon fiber reinforced plastic composite),1,Consolidated
cfrp laminate,1,Consolidated
cfrp tube,1,Consolidated
breakdown voltage,1,Consolidated
breakdown strength,1,Consolidated
braiding process,1,Consolidated
bracing direction optimization,1,Consolidated
bead geometry optimization,1,Consolidated
bead geometry prediction,1,Consolidated
beam,1,Consolidated
bearing capacity experiment,1,Consolidated
bending collapse,1,Consolidated
bending component,1,Consolidated
bending deformation,1,Consolidated
bi-direction evolutionary structural optimization,1,Consolidated
bi-directional evolutionary optimization,1,Consolidated
bi-fidelity method,1,Consolidated
bi-stability,1,Consolidated
binary-type approach,1,Consolidated
binder,1,Consolidated
bio-foam,1,Consolidated
bio-inspired,1,Consolidated
bayesian statistic,1,Consolidated
bayesian regularized artificial neural network,1,Consolidated
bayesian regularisation backpropagation,1,Consolidated
bandgap,1,Consolidated
back-propagation neural network,1,Consolidated
backpropagation (bp) neural network,1,Consolidated
bagging regressor,1,Consolidated
bagging technique,1,Consolidated
ball transfer unit-magnetorheological elastomer-based insulation system,1,Consolidated
ball transfer unit–magnetorheological elastomer–based insulation system,1,Consolidated
bat-bpnn,1,Consolidated
bayesian optimization (bo) technique,1,Consolidated
battery electric vehicle,1,Consolidated
battery protection,1,Consolidated
battery voltage,1,Consolidated
battery-pack system,1,Consolidated
bayesian estimation,1,Consolidated
bayesian learning,1,Consolidated
bio-inspired helicoidal,1,Consolidated
biocomposite,1,Consolidated
biodegradable core,1,Consolidated
bond strength,1,Consolidated
bistable reeled composite shell,1,Consolidated
blasting,1,Consolidated
block ramp,1,Consolidated
bmi,1,Consolidated
body-in-white,1,Consolidated
bolted flange connection,1,Consolidated
bonded composite repair,1,Consolidated
birch fiber composite,1,Consolidated
bone density prediction,1,Consolidated
boosting technique,1,Consolidated
bottom kerf width (bkwf),1,Consolidated
bp artificial neural network,1,Consolidated
bp-ga algorithm,1,Consolidated
bpnn model,1,Consolidated
bistable plate,1,Consolidated
bioprinting,1,Consolidated
bioenergy,1,Consolidated
biomass activator,1,Consolidated
bioethanol production,1,Consolidated
bioinspired core,1,Consolidated
bioinspired helicoidal composite,1,Consolidated
bioinspired nanocomposite,1,Consolidated
bioinspired structural material,1,Consolidated
biomass,1,Consolidated
biomass pellet,1,Consolidated
bioprinted construct,1,Consolidated
biomaterials,1,Consolidated
biometric authentication,1,Consolidated
biomimetic,1,Consolidated
biomimetic core,1,Consolidated
biomimetics,1,Consolidated
bionic fin,1,Consolidated
energy harvester,1,Consolidated
energy management,1,Consolidated
energy removable,1,Consolidated
laminated composite plate and shell,1,Consolidated
knowledge acquisition,1,Consolidated
knowledge assessment,1,Consolidated
knowledge engineering,1,Consolidated
knowledge-based engineering (kbe),1,Consolidated
knowledge-based system,1,Consolidated
kresling origami,1,Consolidated
kresling pattern,1,Consolidated
kriging method,1,Consolidated
kriging surrogate model,1,Consolidated
ksm-imoco,1,Consolidated
l-pbf,1,Consolidated
labyrinth screw pump,1,Consolidated
lagrange multiplier method,1,Consolidated
lagrange with karush-kuhn-tucker condition,1,Consolidated
laminate design,1,Consolidated
knockdown factor,1,Consolidated
kirchhoff–love shell theory,1,Consolidated
kinetics,1,Consolidated
johnson-cook material model,1,Consolidated
iterative learning control,1,Consolidated
iterative machine learning,1,Consolidated
izod test,1,Consolidated
jacket,1,Consolidated
"jenhui chen, chang gung university, taiwan",1,Consolidated
jet engine,1,Consolidated
johnson–cook model,1,Consolidated
kinetic,1,Consolidated
joint probability distribution,1,Consolidated
k nearest neighbor method,1,Consolidated
k-means clustering optimizer (ko),1,Consolidated
k-means clustering-based method,1,Consolidated
kernel function,1,Consolidated
kinematics,1,Consolidated
laminate mechanic,1,Consolidated
laminated composite shell,1,Consolidated
isom,1,Consolidated
laminated composite structure,1,Consolidated
lateral-torsional buckling,1,Consolidated
latin hypercube sampling,1,Consolidated
lattice,1,Consolidated
lattice core sandwich structure,1,Consolidated
lattice design,1,Consolidated
lattice metamaterial,1,Consolidated
lattice metastructures,1,Consolidated
layer laminated manufacturing (llm),1,Consolidated
layer-by-layer design,1,Consolidated
layered structure (a),1,Consolidated
layered structure model,1,Consolidated
layout optimization,1,Consolidated
lds process,1,Consolidated
learning,1,Consolidated
least-square support vector regression,1,Consolidated
lateral impact,1,Consolidated
latent heat thermal energy storage,1,Consolidated
laser vision,1,Consolidated
large-pitch thread,1,Consolidated
laminated functionally graded carbon nanotube (fg-cnt)-reinforced composite plate,1,Consolidated
laminated object manufacturing (lom),1,Consolidated
laminated shell,1,Consolidated
lamination parameter,1,Consolidated
laplace equation,1,Consolidated
laplace prior,1,Consolidated
large-scale sandwich structure,1,Consolidated
laser shock peening,1,Consolidated
large-scale steel structure,1,Consolidated
laser additive manufacturing,1,Consolidated
laser beam welding,1,Consolidated
laser directed energy deposition (lded),1,Consolidated
laser forming (lf),1,Consolidated
laser machining,1,Consolidated
isothermal low-cycle-fatigue test,1,Consolidated
isogeometric analysis (iga),1,Consolidated
energy saving,1,Consolidated
innovation effect,1,Consolidated
industrial design,1,Consolidated
industrial engineering & manufacturing,1,Consolidated
industrial structure upgrade,1,Consolidated
industry,1,Consolidated
industry foundation class (ifc),1,Consolidated
infill-criteria,1,Consolidated
infilling,1,Consolidated
influencing factor,1,Consolidated
information integration,1,Consolidated
information theory,1,Consolidated
information update,1,Consolidated
infrared heating,1,Consolidated
inherent defect,1,Consolidated
inherent strain,1,Consolidated
injection molded direct joining,1,Consolidated
industrial automation,1,Consolidated
industrial application,1,Consolidated
inductor design,1,Consolidated
improved dung beetle optimizer,1,Consolidated
impact damage detection,1,Consolidated
impact testing,1,Consolidated
impeller,1,Consolidated
imperfection sensitivity,1,Consolidated
important region,1,Consolidated
improved differential evolution algorithm,1,Consolidated
improved multi-objective collaborative optimization,1,Consolidated
individualization,1,Consolidated
in-plane-out-of-plane separated representation,1,Consolidated
in-process monitoring,1,Consolidated
in718,1,Consolidated
inclination angle,1,Consolidated
inconel718,1,Consolidated
indentatio,1,Consolidated
injection molding moving plate design,1,Consolidated
inorganic polymer concrete-filled steel tube (ipcfst),1,Consolidated
investment casting,1,Consolidated
inspection robot,1,Consolidated
internal cooling,1,Consolidated
internal force analysis,1,Consolidated
interphase,1,Consolidated
interpretability method,1,Consolidated
interpretative structural modeling (ism),1,Consolidated
intersecting joint,1,Consolidated
interval,1,Consolidated
interval prediction,1,Consolidated
inverse finite method,1,Consolidated
inverse homogenization,1,Consolidated
inverse kinematics,1,Consolidated
inverse lattice generator,1,Consolidated
inverse mc constraint boundary,1,Consolidated
inverse optimization,1,Consolidated
inverse-deformation design,1,Consolidated
interface strength,1,Consolidated
interface,1,Consolidated
interdependent parameter,1,Consolidated
intelligent manufacturing,1,Consolidated
instability,1,Consolidated
instrumental formwork,1,Consolidated
integrated computational material engineering,1,Consolidated
integration optimization design,1,Consolidated
intelligent algorithm,1,Consolidated
intelligent analysis,1,Consolidated
intelligent mix design,1,Consolidated
intercooler,1,Consolidated
intelligent modeling method,1,Consolidated
intelligent optimization,1,Consolidated
intelligent prediction,1,Consolidated
intelligent system,1,Consolidated
interactive network dea,1,Consolidated
interactive reinforcement learning,1,Consolidated
level set method (lsm),1,Consolidated
li-ion battery module,1,Consolidated
lichtenberg algorithm,1,Consolidated
material-field series expansion,1,Consolidated
manufacturing system,1,Consolidated
manufacturing technology,1,Consolidated
map4: demonstrate,1,Consolidated
mapping relationship,1,Consolidated
masonry structure,1,Consolidated
mass centre,1,Consolidated
material discovery,1,Consolidated
material engineering,1,Consolidated
material fatigue damage,1,Consolidated
material interface,1,Consolidated
material modeling (c),1,Consolidated
material modeling and design,1,Consolidated
material performance,1,Consolidated
material property identification,1,Consolidated
material selection,1,Consolidated
manufacturing structure optimization,1,Consolidated
manufacturing deviation,1,Consolidated
manufacturing defect,1,Consolidated
magnetic isotropy,1,Consolidated
machining distortion,1,Consolidated
machining optimization,1,Consolidated
magnesium,1,Consolidated
magnesium alloy cylindrical part with longitudinal inner rib,1,Consolidated
magnesium composite,1,Consolidated
magnetic field,1,Consolidated
magneto-gel brake,1,Consolidated
manufacturing constraint,1,Consolidated
magneto-hyper-viscoelastic model,1,Consolidated
magnetoelectric coupling,1,Consolidated
magnetorheological elastomer,1,Consolidated
manifold heat sink,1,Consolidated
manufactured sand,1,Consolidated
manufacturing carbon emission,1,Consolidated
material uncertainty,1,Consolidated
mathematical analysis,1,Consolidated
life cycle,1,Consolidated
matlab,1,Consolidated
membership function,1,Consolidated
mesh deformation,1,Consolidated
mesh density,1,Consolidated
mesh segmentation,1,Consolidated
meshfree analysis,1,Consolidated
meso-scale,1,Consolidated
meso-structural characteristic analysis,1,Consolidated
meta-model,1,Consolidated
meta-model-based design optimization (mbdo),1,Consolidated
meta-modeling,1,Consolidated
metaheuristic,1,Consolidated
metaheuristics,1,Consolidated
metal foam-fin hybrid structure,1,Consolidated
metal injection molding (mim),1,Consolidated
metal/polymer-based composite hybrid,1,Consolidated
mem,1,Consolidated
melting mode,1,Consolidated
melting,1,Consolidated
mechanical behaviour,1,Consolidated
matrix cracking,1,Consolidated
maximum flow/minimum cut,1,Consolidated
maximum stress prediction,1,Consolidated
mcst,1,Consolidated
mdo (multi-disciplinary optimization),1,Consolidated
mean compliance maximization,1,Consolidated
mechanical component,1,Consolidated
medial mesh,1,Consolidated
mechanical engineering design,1,Consolidated
mechanical equipment,1,Consolidated
mechanical property of material,1,Consolidated
mechanical property prediction,1,Consolidated
mechanical safety,1,Consolidated
mechanostructures,1,Consolidated
machining,1,Consolidated
machine-learning,1,Consolidated
machine learning model,1,Consolidated
machine learning method,1,Consolidated
lightweight material,1,Consolidated
lightweight metastructure,1,Consolidated
(finite element model),1,Consolidated
lightweight sustainable design of material,1,Consolidated
lightweight wheel design,1,Consolidated
lightweighting,1,Consolidated
lime rotary kiln,1,Consolidated
limit analysis,1,Consolidated
limit state,1,Consolidated
linear programming,1,Consolidated
liquid air energy storage,1,Consolidated
liquid cooled heat dissipation structure,1,Consolidated
liquid rocket engine,1,Consolidated
liquid-cooled plate,1,Consolidated
lithium battery module,1,Consolidated
lightweight fiber-reinforced composite structure,1,Consolidated
lightweight construction,1,Consolidated
lightweight ceramsite aggregate,1,Consolidated
light-weight composite,1,Consolidated
life cycle analysis,1,Consolidated
life cycle assessment,1,Consolidated
life cycle sustainability assessment,1,Consolidated
lifetime prediction,1,Consolidated
lifted system notation,1,Consolidated
light management,1,Consolidated
light-weight high-entropy alloy,1,Consolidated
lightweight brick,1,Consolidated
lightgbm,1,Consolidated
lightning,1,Consolidated
lightning rod structure,1,Consolidated
lightning transient immunity,1,Consolidated
lightweight aggregate concrete,1,Consolidated
lightweight auxetic structure,1,Consolidated
lithium ion battery,1,Consolidated
litz pcb winding design,1,Consolidated
llm-105,1,Consolidated
low-velocity impact,1,Consolidated
low-carbon energy,1,Consolidated
low-carbon transition,1,Consolidated
low-density polyethylene,1,Consolidated
low-density polyethylene/ni and nio,1,Consolidated
low-fidelity model,1,Consolidated
low-frequency dynamic,1,Consolidated
low-velocity impact (lvi),1,Consolidated
low-carbon design,1,Consolidated
lower confidence bound (lcb),1,Consolidated
ls-dyna,1,Consolidated
lsff system,1,Consolidated
m-k theory,1,Consolidated
machine learning classification,1,Consolidated
machine learning hybrid fiber-reinforced scc,1,Consolidated
low-carbon economy,1,Consolidated
low-carbon,1,Consolidated
load decomposition,1,Consolidated
long short-term memory,1,Consolidated
load path,1,Consolidated
load redistribution,1,Consolidated
local buckling mode,1,Consolidated
local reduced stiffness method,1,Consolidated
locally linear embedding,1,Consolidated
lolimot,1,Consolidated
loss optimization,1,Consolidated
low velocity impact load,1,Consolidated
low alloy steel,1,Consolidated
low carbon manufacturing,1,Consolidated
low density polyethylene,1,Consolidated
low density polyethylene (ldpe),1,Consolidated
low profile,1,Consolidated
low rank approximation,1,Consolidated
image-based numerical simulation,1,Consolidated
image processing,1,Consolidated
ifc-based meshfree analysis,1,Consolidated
flexural performance,1,Consolidated
fire,1,Consolidated
fire resistance,1,Consolidated
firefly algorithm,1,Consolidated
firmware,1,Consolidated
first-visit monte-carlo method,1,Consolidated
five-axis grinding machine,1,Consolidated
five-axis machine tool,1,Consolidated
five-axis-milling,1,Consolidated
flexible al-biruni earth radius optimizer,1,Consolidated
flexible composite,1,Consolidated
flexible formwork,1,Consolidated
flexible joint,1,Consolidated
flexible structure,1,Consolidated
flexoelectric material,1,Consolidated
flexural,1,Consolidated
finite element-based optimization,1,Consolidated
finite element model modification,1,Consolidated
finite elelment simulation,1,Consolidated
fibre metal laminate,1,Consolidated
fg-goeam face sheet,1,Consolidated
fiber -reinforced plastic,1,Consolidated
fiber composite,1,Consolidated
fiber reinforced plastic (frp),1,Consolidated
fiber steering,1,Consolidated
fiber-metal laminate (fmls),1,Consolidated
fibre-matrix interface,1,Consolidated
finfet,1,Consolidated
fibre-reinforced plastic,1,Consolidated
filament extrusion,1,Consolidated
filament winding,1,Consolidated
film cooling,1,Consolidated
fin,1,Consolidated
fine-structure constant,1,Consolidated
flexural loading,1,Consolidated
flexural wave propagation,1,Consolidated
friction stir welding (fsw),1,Consolidated
flight envelope,1,Consolidated
fourier orthogonal function,1,Consolidated
fractional order bat optimization algorithm,1,Consolidated
fracture prediction,1,Consolidated
fracture toughness,1,Consolidated
frame,1,Consolidated
frame parameter optimization,1,Consolidated
frame structure,1,Consolidated
free-form deformation method,1,Consolidated
free-form surface,1,Consolidated
frequency analysis,1,Consolidated
frequency optimization,1,Consolidated
frequency response,1,Consolidated
frequency selective surface,1,Consolidated
friction lap welding,1,Consolidated
friction loss,1,Consolidated
forward swept wing,1,Consolidated
forward prediction,1,Consolidated
form-active structure,1,Consolidated
flutter suppression,1,Consolidated
flip - chip,1,Consolidated
flow stress,1,Consolidated
fluid analysis,1,Consolidated
fluid-elastic instability (fei),1,Consolidated
fluid-solid coupling,1,Consolidated
fluid-structure interaction,1,Consolidated
flux cored arc welding,1,Consolidated
force,1,Consolidated
fmincon function,1,Consolidated
foam,1,Consolidated
foam concrete,1,Consolidated
foam-filled,1,Consolidated
foam-filled tube,1,Consolidated
folding behavior,1,Consolidated
ffrequency prediction,1,Consolidated
ferrite number,1,Consolidated
fem simulation,1,Consolidated
feedback control,1,Consolidated
evaluation characteristic,1,Consolidated
evolution gym,1,Consolidated
evolutionary algorithm,1,Consolidated
evolutionary learning,1,Consolidated
evolved structure,1,Consolidated
expanded perlite,1,Consolidated
expected feasibility function,1,Consolidated
expected improvement function,1,Consolidated
expensive optimization problem,1,Consolidated
expensive problem,1,Consolidated
experimental design,1,Consolidated
experimental modal analysis (ema),1,Consolidated
expert system,1,Consolidated
exploration,1,Consolidated
explosion resistance,1,Consolidated
error prediction,1,Consolidated
error estimation,1,Consolidated
eps geofoam,1,Consolidated
engineering structural optimisation,1,Consolidated
energy selective surface,1,Consolidated
energy storage,1,Consolidated
energy storage system (ess),1,Consolidated
energy-efficient,1,Consolidated
energy-saving,1,Consolidated
engineering optimisation,1,Consolidated
enhance dislocation density,1,Consolidated
environmental pollution,1,Consolidated
enhanced optimal brain surgeon,1,Consolidated
enlarged pile,1,Consolidated
ensemble of metamodels,1,Consolidated
ensemble of surrogate,1,Consolidated
entropy-based correlation coefficient,1,Consolidated
env modelling,1,Consolidated
explosive composite,1,Consolidated
extended kalman filter,1,Consolidated
extended multiscale finite element method,1,Consolidated
fatigue model,1,Consolidated
fatigue damage zone,1,Consolidated
fatigue evaluation,1,Consolidated
fatigue failure,1,Consolidated
fatigue life prediction,1,Consolidated
fatigue lifetime,1,Consolidated
fatigue limit,1,Consolidated
fatigue reliability,1,Consolidated
fatigue crack growth life,1,Consolidated
fbg sensor network,1,Consolidated
fe analysis,1,Consolidated
fea based welding simulation,1,Consolidated
feature fusion,1,Consolidated
feature-aware displacement learning,1,Consolidated
feed,1,Consolidated
fatigue cycle,1,Consolidated
fatigue behavior,1,Consolidated
extended simp,1,Consolidated
fabrication robustness,1,Consolidated
external load,1,Consolidated
extreme learning machine,1,Consolidated
extreme learning machine (elm),1,Consolidated
extrusion temperature,1,Consolidated
eye diagram,1,Consolidated
fabric-reinforced structure,1,Consolidated
face recognition,1,Consolidated
failure prediction,1,Consolidated
failure analysis,1,Consolidated
failure assessment,1,Consolidated
failure envelope,1,Consolidated
failure index,1,Consolidated
failure load,1,Consolidated
failure mode,1,Consolidated
friction stir welding,1,Consolidated
front collector,1,Consolidated
ifc-based bridge model,1,Consolidated
high-strain composite,1,Consolidated
high temperature,1,Consolidated
high temperature thermal protection,1,Consolidated
high throughput,1,Consolidated
high-altitude uav,1,Consolidated
high-density polyethylene,1,Consolidated
high-dimensional optimization,1,Consolidated
high-entropy alloy,1,Consolidated
high-entropy material,1,Consolidated
high-frequency impedance model,1,Consolidated
high-level synthesis,1,Consolidated
high-performance,1,Consolidated
high-performance computing,1,Consolidated
high-performance steel,1,Consolidated
high-pressure tank,1,Consolidated
high-resolution design,1,Consolidated
high strength steel beam,1,Consolidated
high strength aluminium alloy,1,Consolidated
high speed train gearbox,1,Consolidated
heat spreading,1,Consolidated
half-heusler,1,Consolidated
hardening behavior,1,Consolidated
hdqm,1,Consolidated
heat dissipation structure,1,Consolidated
heat resistance,1,Consolidated
heat sink,1,Consolidated
herringbone grooved journal bearing,1,Consolidated
high dimensional design space exploration,1,Consolidated
heterogeneous microstructure,1,Consolidated
heuristic optimization algorithm,1,Consolidated
hexagonal trigger,1,Consolidated
hibiscus rosa-sinensis,1,Consolidated
hierarchical design space reduction,1,Consolidated
hierarchical system,1,Consolidated
high-rise building,1,Consolidated
high-temperature polymer,1,Consolidated
frontal impact,1,Consolidated
high-throughput,1,Consolidated
hybrid optimization,1,Consolidated
hybrid rbf-based artificial neural network,1,Consolidated
hybrid rbf-rsm model,1,Consolidated
hybrid technique,1,Consolidated
hydrodynamic characteristic,1,Consolidated
hydrodynamic optimization,1,Consolidated
hydrodynamic performance,1,Consolidated
hydrodynamic response,1,Consolidated
hydrogen storage,1,Consolidated
hydrogen tank,1,Consolidated
hyperbolic paraboloid (hypar),1,Consolidated
hyperelasticity,1,Consolidated
hyperparameter tuning,1,Consolidated
ice-class propeller,1,Consolidated
ifc extension,1,Consolidated
hybrid nanofluid,1,Consolidated
hybrid meta-model,1,Consolidated
hybrid mechanic model,1,Consolidated
homogenisation method,1,Consolidated
hog,1,Consolidated
hollow carbon nanosphere,1,Consolidated
hollow conductor,1,Consolidated
hollow glass microspheres,1,Consolidated
hollow inorganic microsphere,1,Consolidated
hollow turbine blade,1,Consolidated
homology,1,Consolidated
hybrid joint,1,Consolidated
horizontal continuous casting,1,Consolidated
hot deformation mechanism,1,Consolidated
hot flow forming,1,Consolidated
hot-spot stress,1,Consolidated
human motion recognition,1,Consolidated
hybrid composite,1,Consolidated
gwo,1,Consolidated
gurson model,1,Consolidated
gun turret,1,Consolidated
guided denoising diffusion,1,Consolidated
gas-bearings,1,Consolidated
gaussian mixture model,1,Consolidated
gaussian process (gp),1,Consolidated
gaussian process regression model,1,Consolidated
gbm,1,Consolidated
gear ring processing,1,Consolidated
generalized regression neural network,1,Consolidated
generative ai,1,Consolidated
generative ai for design,1,Consolidated
generative bridge design,1,Consolidated
genetic algorithm based artificial neural network (ga-ann),1,Consolidated
genetic programming,1,Consolidated
geometric compensation,1,Consolidated
geometric constraint,1,Consolidated
geometric deep learning,1,Consolidated
gas turbine blade,1,Consolidated
gas turbine,1,Consolidated
gans,1,Consolidated
functionally graded spherical shell,1,Consolidated
frp composite,1,Consolidated
frp strengthened concrete beam,1,Consolidated
fuel cell,1,Consolidated
full penetration,1,Consolidated
function surface,1,Consolidated
functionally graded foam,1,Consolidated
furnace,1,Consolidated
ga-bp neural network,1,Consolidated
fused filament fabrication,1,Consolidated
fuzzy clustering method,1,Consolidated
fuzzy metric optimization,1,Consolidated
fuzzy neural network of regression,1,Consolidated
fuzzy-logic,1,Consolidated
félix candela,1,Consolidated
geometric deviation prediction,1,Consolidated
geometric feature recognition,1,Consolidated
geometric imperfection,1,Consolidated
graphene nanoparticles composite,1,Consolidated
grain size evaluation and az31 magnesium alloy,1,Consolidated
grain structure,1,Consolidated
graph embedding,1,Consolidated
graph theory,1,Consolidated
graphene,1,Consolidated
graphene nano-platelet,1,Consolidated
graphene nanoplatelets (gnp),1,Consolidated
gradient-based multiobjective optimization algorithm,1,Consolidated
grasshopper,1,Consolidated
gravity,1,Consolidated
green environment,1,Consolidated
green ultra-high performance concrete (uhpc),1,Consolidated
grid shell structure,1,Consolidated
gripping system,1,Consolidated
gradient-enhanced bayesian optimization,1,Consolidated
gradient-based approach,1,Consolidated
geometric nonlinear,1,Consolidated
glass microspheres,1,Consolidated
geometric similarity,1,Consolidated
geometry estimation,1,Consolidated
gfrp,1,Consolidated
glass fiber,1,Consolidated
glass fiber-reinforced polymer (gfrp),1,Consolidated
glass laminate aluminum reinforced epoxy (glare),1,Consolidated
glass/polyester composite,1,Consolidated
gradient boosting,1,Consolidated
gndo algorithm,1,Consolidated
graded cellular structure,1,Consolidated
graded lattice,1,Consolidated
graded microstructural configuration,1,Consolidated
graded thickness,1,Consolidated
gradient algorithm,1,Consolidated
ε-greedy policy,1,Consolidated
